,Unnamed: 0.2,name,birth_date,birth_place,death_date,death_place,occupation,awards,alma_mater,education,spouse,children,occupation_cluster,birth_year,death_year,life_span,life_span_cluster,edu_award_cluster,bio_cluster
22,22,0.40151983499689,-0.8183278791684471,0.6426866343310067,-0.6067923430371829,0.6269104243961854,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1791.0,1867.0,76.0,2.0,-0.573777572327484,-0.8675731069971382
23,23,-0.0646582551199739,0.5424628128532426,-0.2538450521672404,0.498766269582658,2.2216638099194514,-0.5130847304504031,0.3912340391257261,2.627440270941179,-2.1153194243339817,-0.8519033367069844,1.2654425201182895,-0.6285477351915405,1749.0,1832.0,83.0,2.0,1.2721703214611757,0.1010811295286561
24,24,1.0681109358182002,0.7828851966026578,-0.2486925712103539,0.8627916664208983,0.6166216928766804,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1856.0,1939.0,83.0,2.0,-0.573777572327484,-0.8675731069971382
25,25,0.3753790075137014,-0.7365842686936459,0.1016761338579265,-0.4584856998808627,0.5857554983181656,-0.5130847304504031,0.3912340391257261,3.239383165298222,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1858.0,1947.0,89.0,2.0,-0.573777572327484,-0.8675731069971382
26,26,0.5540079953154904,-0.6933082396187512,-0.5629939095804292,-0.4112972225129427,-1.0398640817636151,-0.5130847304504031,0.3912340391257261,1.709525929405614,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1885.0,1962.0,77.0,2.0,-0.573777572327484,-0.8675731069971382
27,27,0.9330499938217256,1.1435187722267806,0.678754001029212,0.9976158874720984,0.1227625799404432,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,-1.82425041864658,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1920.0,1958.0,38.0,2.0,1.2721703214611757,0.1010811295286561
28,28,0.8110594655668453,1.056966714076991,1.2455269062867245,1.0380631537874585,1.923290595853808,0.4919363496606004,0.3912340391257261,-1.2481980599867617,0.1716513346384583,0.4726361468812994,-0.4081706174136226,1.5690145481928313,1907.0,1964.0,57.0,2.0,-0.573777572327484,1.0697353660544504
29,29,0.3230973525473241,0.8550119117274823,1.7556225210184857,0.9908746764195384,0.338825941850047,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.5458829133794031,-2.1613912352544924,-0.4081706174136226,-0.6285477351915405,1880.0,1958.0,78.0,2.0,1.2721703214611757,0.1010811295286561
30,30,-0.3870617940793004,1.787850760675213,-1.1400717767517146,-0.741616564088383,-1.1839063230366842,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1875.9082901554405,1860.5845620121424,60.20071047957372,2.378330373001776,-0.573777572327484,-0.8675731069971382
31,31,-0.8314558612935071,0.8694372547524473,-0.3723521141756294,0.8358268222106583,-0.0521458558911407,-0.5130847304504031,0.3912340391257261,1.8115164117984544,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1882.0,1935.0,53.0,2.0,-0.573777572327484,-0.8675731069971382
